videoId,permalink_url_y,title,message,post_created_time,Primary_Category_1,Secondary_Category_1_revisited,Video_Type_1,Tags,visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,thumbnail,thumbnail_Sentiment,seven_day_views
2471240386486870,https://www.facebook.com/1954072204870360/posts/2471240386486870/,Kabir Yatra: Rajasthan's Musical Sojourn,"कबीर यात्रा जो है राजस्थान का एक यात्रा संगीत उत्सव, क्या होता है इस यात्रा में खास?",2019-10-23 08:00:15,Lifestyle,"Music, Culture",Informative,"Rajasthan, Folk Music, Rajasthan kabir Yatra, Kabir Yatra, Musical Festival, Indian Folk music, Sant Kabir, Kabir Yatra Concert",commoner (np),other,relevant,Crowd,"Happy, Action",3329.0
2471355786475330,https://www.facebook.com/1954072204870360/posts/2471355786475330/,China-Made Lights Taking A Toll On Local Diya Business,"चाइनीज लाइटों के कारण फीकी होती जा रही है दियों की चमक, कुम्हार परिवारों पर पड़ रहा है बुरा असर",2019-10-27 16:35:15,Business,Economy/Economic,General ,"Diwali, Diwali Festival, Handmade diyas, Handmade lamps, Earthen Lamps, Chinese Diwali Lights, Indian Festivals, Deepavali",other,text only (to),loud,Object,Neutral ,1797.0
2471570813120494,https://www.facebook.com/1954072204870360/posts/2471570813120494/,Process Of Vote Tally,किस तरह होती है आप के मूल्यवान वोट की गिनती?,2019-10-23 20:35:15,Government,"News, facts",Explainers,"Voting Counting Process, Matganna, Election process, Voting Counting, Ballot, EVM",other,text only (to),relevant,Crowd,"Anger, Action",7036.0
2469361533341422,https://www.facebook.com/1954072204870360/posts/2469361533341422/,Indian Army Launches Attack On POK Terror Camps,पीओके में भारतीय सेना ने उड़ाए आतंक के ठिकाने,2019-10-20 16:35:15,Forces,"Army, News",General ,"Terrorism, Jammu and Kashmir, Pakistan, Indian Army attack, Indian Army, POK terror camps, Cross border terrorism, Artillery firing",Crowd,text only (to),relevant,Object,Neutral ,7676.0
2469367266674182,https://www.facebook.com/1954072204870360/posts/2469367266674182/,Beginners' Guide To Exercise Your Voting Rights,महाराष्ट्र और हरियाणा में विधानसभा चुनावों में वोट डालने से पहले यें बाते जानना है बेहद जरुरी,2019-10-20 21:05:15,Government,Facts,Explainers,"Haryana Vidhan Sabha Elections, Maharashtra Vidhan Sabha Elections, Voting, Elections, Indian elections, NOTA, EVM Machines, State Assembly Elections",other,text only (to),relevant,Object,Neutral ,4414.0
2478976239046618,https://www.facebook.com/1954072204870360/posts/2478976239046618/,Remembering Former PM Indira Gandhi,"इंदिरा गांधी - गूंगी गुड़िया से आयरन लेडी बनने का सफर

(via NEWJ Garv)",2019-10-31 10:00:15,Politics,Famous Personality,Profile,"Amritsar, Punjab, Indira Gandhi Assassination, Indira Gandhi death, Operation Blue Star, Former Prime Minister, Jawaharlal Nehru, Emergency in India, Golden Temple",famous personality (fp),voice over (vo),no music,Famous Personality,Happy ,52090.0
2522062694737972,https://www.facebook.com/1954072204870360/posts/2522062694737972/,Tribute To India's Iron Man Sardar Vallabhbhai Patel,"सरदार से लेकर लौह पुरुष तक बनने वाले वल्लभ भाई की पुण्यतिथि पर जानिए उनका सफर       

(via NEWJ Garv)",2019-12-15 11:00:15,Politics,Famous Personality,Profile,"Hyderabad, Sardar Vallabhbhai Patel, Vallabhbhai Patel, Sardar Patel, Iron man of India, Loh purush, Sardar Patel Jayanti, Nizam of Hyderabad",famous personality (fp),voice over (vo),relevant,Object,Neutral ,31664.0
2473359162941659,https://www.facebook.com/1954072204870360/posts/2473359162941659/,Irfan Pathan - One Of India's Best Swing Bowlers,पाकिस्तान के खिलाफ टेस्ट मैचों में हैट्रीक लेने वाले एकलौते गेंदबाज का आज है जन्मदिन,2019-10-27 12:05:15,Sports & Games,"Famous Personality, Cricket",Profile,"Test Cricket & First-Class Cricket, Cricket, Pakistan, Vadodara, Gujarat, India, Irfan Pathan, Baroda, Team India, Hattrick",famous personality (fp),text only (to),loud,Famous Personality,Happy ,2486.0
2470364816574427,https://www.facebook.com/1954072204870360/posts/2470364816574427/,Girls Can Now Take Admission In Sainik Schools,कब से सैनिक स्कूलों में जा पाएंगी लड़कियां?,2019-10-21 16:05:15,Education,"Empowerment, News",Informative,"Defence Ministry, Military School, Military, Admission, school, education",Crowd,text only (to),relevant,Crowd,Neutral ,6383.0
2468289310115311,https://www.facebook.com/1954072204870360/posts/2468289310115311/,Hyderabad's First Female Food Delivery Agent,स्विग्गी की पहली महिला फूड डिलीवरी एजेंट,2019-10-19 16:35:15,Lifestyle,"Person Specific, Award/Achievement, Food",General ,"Hyderabad, Janani Rao Swiggy, Janani Rao Delivery Girl, Food delivery girl Janani Rao, Food Delivery App, Swiggy, Women Empowerment",other,text only (to),loud,Commoner,Happy ,14343.0
2467341573543418,https://www.facebook.com/1954072204870360/posts/2467341573543418/,What Makes MS Dhoni The Coolest Head?,"क्या चीज बनाती है महेंद्र सिंह धोनी को 'कैप्टन कूल', धोनी ने बताया अपना सीक्रेट

MS Dhoni",2019-10-18 20:35:15,Sports & Games,"Famous Personality, Cricket",Entertaining,"MS Dhoni, MSD, Mahendra Singh Dhoni, Captain Cool, Thala Dhoni, Team India, Mahi, BCCI",famous personality (fp),text only (to),relevant,Famous Personality,Happy ,2947.0
2473346942942881,https://www.facebook.com/1954072204870360/posts/2473346942942881/,"Manikyam, the World's Shortest Cow","दुनिया की सबसे छोटी गाय, जिसने बनाया गिनीज वर्ल्ड रिकॉर्ड",2019-10-26 16:35:15,Environment/Ecosystem,"Animals, Facts",General ,"Animal Rescue, Animal Welfare, Cattle Ranching & Beef Production, Kerala, Cute Animals, Manikyam Cow, Guiness World Record, Shortest Cow",commoner (np),text only (to),relevant,"Commoner, Animal",Neutral ,5850.0
2470523506558558,https://www.facebook.com/1954072204870360/posts/2470523506558558/,The Day When ISRO's Chandrayaan-1 Was Launched,"आज ही के दिन 11 साल पहले लॉन्च हुआ था चंद्रयान-1, इस मिशन से देश को क्या हासिल हुई थी उपलब्धि?",2019-10-22 10:05:15,Government,"History, Science",Informative,no tags,other,text only (to),relevant,Object,Neutral ,4998.0
2468348343442741,https://www.facebook.com/1954072204870360/posts/2468348343442741/,Xiaomi's Redmi 8A To Be Available In Offline Stores,"कौन सा है वो स्मार्टफोन जिसमें है 5000 एमएएच की बैटरी और कीमत है सिर्फ ₹6,499?",2019-10-19 20:35:15,Technology & Innovations,News,Informative,"Xiaomi Redmi 8A, Mi smartphones, Redmi 8A Phone, Smartphone, cellphones, Flipkart, Mi Store, China phones",other,text only (to),relevant,Object,Neutral ,6205.0
2471252979818944,https://www.facebook.com/1954072204870360/posts/2471252979818944/,Mumbai Man Builds An Aircraft On His Terrace,"खुद के पैसों से घर की छत पर बनाया प्लेन, एक बार में 6 लोग कर सकते हैं सफर",2019-10-28 16:35:15,Technology & Innovations,Person Specific,General ,"Make in India, Mumbai, Maharashtra, Airplane, Homemade plane, Aircraft, Aircraft built on terrace Mumbai",other,text only (to),relevant,Commoner,Happy ,9245.0
2467142423563333,https://www.facebook.com/1954072204870360/posts/2467142423563333/,Hyderabad Based Lab Makes Edible Cups,कौन से हैं ये कप्स जिन्हें खाया भी जा सकता है?,2019-10-18 12:09:15,Technology & Innovations,"Conservation, Food",Informative,"Hyderabad, Biotechnology, Food Science, Genetics & Genomics, Edible Cups, Genomelabs, Hyderabad Genomelabs, Eatable Cups",commoner (np),text only (to),relevant,Object,Neutral ,7462.0
2467293290214913,https://www.facebook.com/1954072204870360/posts/2467293290214913/,Ishrat Rashid - Kashmir's First Specially-Abled Basketball Player,"कौन हैं कश्मीर की पहली दिव्यांग बास्केटबॉल खिलाड़ी, जो अंतर्राष्ट्रीय टूर्नामेंट में लेंगी हिस्सा?",2019-10-18 16:35:15,Sports & Games,"Other Sports, Famous Personality, X-Factor",Inspiring,"Srinagar, Jammu and Kashmir, Wheelchairs, Basketball, Jammu and Kashmir, Ishrat Rashid, Srinagar, Specially-abled Basketball player",commoner (np), common voice (optv),relevant,Commoner,Neutral ,4824.0
