visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
commoner (np),text only (to),relevant,1588,2019,2,5,low,no_tags,rare,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-05-30
commoner (np),text only (to),relevant,5102,2019,2,5,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,rare,action,12 PM - 03 PM,2019-05-31
famous personality (fp),other,relevant,18797,2019,2,5,low,no_tags,sports & games,informative,no_video_type_1,other,famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-05-30
other,text only (to),neutral,1770,2019,2,5,low,not_editable,politics,rare,no_video_type_1,text only (to),famous personality,anger,no_thumbnail_sentiment,3 PM - 6 PM,2019-05-30
famous personality (fp),text only (to),low,2156,2019,2,5,low,no_tags,rare,informative,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,9 AM - 12 PM,2019-05-30
crowd,text only (to),relevant,27327,2019,2,5,low,not_editable,places,day-specific,no_video_type_1,text only (to),commoner,anger,no_thumbnail_sentiment,6 AM - 9 AM,2019-05-30
commoner (np),text only (to),low,19546,2019,2,6,low,not_editable,judiciary & crime,informative,rare,text only (to),commoner,anger,no_thumbnail_sentiment,6 AM - 9 AM,2019-06-03
other,text only (to),low,2292,2019,2,6,low,no_tags,rare,emotions,rare,text only (to),rare,anger,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-02
commoner (np),other,low,2217,2019,2,5,low,no_tags,government,rare,no_video_type_1,other,commoner,anger,no_thumbnail_sentiment,12 PM - 03 PM,2019-05-30
commoner (np),text only (to),relevant,2136,2019,2,5,low,no_tags,technology & innovations,rare,rare,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-05-29
commoner (np),common voice (optv),no music,29496,2019,2,5,low,no_tags,rare,rare,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-05-29
other,common voice (optv),low,759674,2019,2,5,high,not_editable,rare,rare,no_video_type_1,common voice (optv),rare,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-05-29
commoner (np),other,no music,64362,2019,2,6,high,not_editable,rare,rare,no_video_type_1,other,commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-02
commoner (np),other,relevant,8922,2019,2,5,low,not_editable,judiciary & crime,emotions,no_video_type_1,other,commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-05-30
commoner (np),text only (to),relevant,15760,2019,2,5,low,no_tags,lifestyle,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-05-30
other,text only (to),low,29752,2019,2,5,low,no_tags,rare,inspiring,informative,text only (to),rare,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-05-29
other,text only (to),low,2342,2019,2,5,low,not_editable,government,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-05-29
