visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
commoner (np),text only (to),relevant,7477,2019,2,5,low,no_tags,entertainment,inspiring,no_video_type_1,text only (to),commoner,happy,action,12 PM - 03 PM,2019-05-15
commoner (np),common voice (optv),no music,4863,2019,4,11,low,no_tags,judiciary & crime,rare,no_video_type_1,common voice (optv),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-11-14
famous personality (fp),voice of famous personality (fpv),no music,29582,2020,1,1,low,tags,politics,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-09
other,text only (to),relevant,25885,2020,1,1,low,tags,rare,emotions,rare,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-09
famous personality (fp),text only (to),neutral,159562,2020,1,1,high,tags,lifestyle,inspiring,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-28
other,text only (to),neutral,30150,2020,1,1,low,not_editable,judiciary & crime,informative,explainers,text only (to),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-08
famous personality (fp),voice of famous personality (fpv),relevant,44101,2020,1,1,high,tags,sports & games,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-11
famous personality (fp),common voice (optv),low,26665,2020,1,1,low,tags,politics,rare,no_video_type_1,common voice (optv),famous personality,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-08
commoner (np),text only (to),neutral,3648,2020,1,1,low,tags,judiciary & crime,informative,rare,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-08
commoner (np),common voice (optv),no music,66249,2020,1,1,high,tags,judiciary & crime,informative,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-07
commoner (np),common voice (optv),no music,48085,2020,1,1,high,tags,entertainment,rare,rare,common voice (optv),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-08
other,text only (to),neutral,3197,2020,1,1,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-10
commoner (np),common voice (optv),relevant,11533,2020,1,1,low,tags,government,informative,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-09
other,text only (to),relevant,3070,2020,1,1,low,tags,sports & games,rare,inspiring,text only (to),crowd,happy,action,3 PM - 6 PM,2020-01-10
commoner (np),common voice (optv),no music,11547,2020,1,1,low,tags,judiciary & crime,informative,rare,common voice (optv),crowd,anger,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-07
other,text only (to),neutral,63284,2020,1,1,high,tags,global news,rare,rare,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-06
commoner (np),common voice (optv),no music,172310,2020,1,1,high,tags,global news,rare,emotions,common voice (optv),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-07
crowd,common voice (optv),no music,13607,2020,1,1,low,not_editable,global news,rare,rare,common voice (optv),crowd,anger,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-06
other,text only (to),relevant,49172,2020,1,1,high,tags,technology & innovations,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-11
other,text only (to),neutral,6576,2020,1,1,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-07
commoner (np),common voice (optv),no music,21661,2020,1,1,low,tags,judiciary & crime,emotions,emotions,common voice (optv),commoner,anger,action,3 PM - 6 PM,2020-01-06
crowd,crowd,low,24611,2020,1,1,low,tags,government,rare,no_video_type_1,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-07
famous personality (fp),text only (to),relevant,15138,2020,1,1,low,tags,rare,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-08
famous personality (fp),text only (to),relevant,25669,2020,1,1,low,tags,politics,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-03
commoner (np),text only (to),neutral,15746,2020,1,1,low,tags,rare,rare,inspiring,text only (to),commoner,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-04
famous personality (fp),other,no music,18768,2020,1,1,low,tags,technology & innovations,rare,rare,other,famous personality,action,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-03
famous personality (fp),text only (to),neutral,25963,2020,1,1,low,tags,rare,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-03
other,text only (to),neutral,4315,2020,1,1,low,tags,government,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-02
crowd,common voice (optv),no music,4614,2020,1,1,low,tags,global news,rare,rare,common voice (optv),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-02
commoner (np),text only (to),neutral,9135,2020,1,1,low,tags,environment/ecosystem,rare,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-04
commoner (np),common voice (optv),no music,4221,2020,1,1,low,tags,government,emotions,no_video_type_1,common voice (optv),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-03
other,text only (to),relevant,11340,2020,1,1,low,tags,government,informative,no_video_type_1,text only (to),object,action,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-02
famous personality (fp),other,relevant,65745,2020,1,1,high,tags,sports & games,inspiring,informative,other,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-06
famous personality (fp),voice of famous personality (fpv),low,198087,2020,1,1,high,tags,entertainment,rare,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-05
famous personality (fp),text only (to),neutral,8934,2020,1,1,low,not_editable,politics,day-specific,rare,text only (to),famous personality,action,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-05
other,text only (to),neutral,21956,2020,1,1,low,tags,places,emotions,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-04
commoner (np),text only (to),neutral,27706,2020,1,1,low,tags,rare,emotions,inspiring,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-04
famous personality (fp),text only (to),relevant,53388,2019,4,12,high,tags,rare,rare,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-30
famous personality (fp),voice of famous personality (fpv),low,7882,2019,4,12,low,not_editable,sports & games,emotions,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-30
other,text only (to),relevant,39717,2019,4,12,high,tags,lifestyle,rare,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-31
famous personality (fp),text only (to),neutral,17105,2019,4,12,low,tags,politics,rare,emotions,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-30
famous personality (fp),text only (to),neutral,30206,2019,4,12,low,tags,politics,emotions,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-27
famous personality (fp),voice of famous personality (fpv),neutral,91053,2019,4,12,high,tags,sports & games,emotions,no_video_type_1,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-27
famous personality (fp),text only (to),neutral,14689,2019,4,12,low,tags,rare,rare,no_video_type_1,text only (to),famous personality,happy,rare,6 PM - 9 PM,2019-12-28
famous personality (fp),text only (to),no music,264905,2019,4,12,high,tags,entertainment,rare,no_video_type_1,text only (to),famous personality,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-29
famous personality (fp),voice of famous personality (fpv),no music,57850,2019,4,12,high,tags,politics,rare,no_video_type_1,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-26
commoner (np),common voice (optv),no music,49068,2019,4,12,high,not_editable,rare,rare,no_video_type_1,common voice (optv),commoner,happy,action,12 PM - 03 PM,2019-12-29
commoner (np),common voice (optv),no music,7404,2020,1,1,low,not_editable,lifestyle,emotions,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-10
other,text only (to),relevant,32867,2020,1,1,low,tags,environment/ecosystem,inspiring,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-01
other,text only (to),neutral,6944,2019,4,12,low,tags,environment/ecosystem,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-26
commoner (np),other,neutral,4758,2019,4,12,low,tags,lifestyle,informative,no_video_type_1,other,commoner,happy,rare,6 PM - 9 PM,2019-12-29
commoner (np),common voice (optv),no music,3943,2019,4,12,low,tags,politics,rare,no_video_type_1,common voice (optv),commoner,anger,action,9 AM - 12 PM,2019-12-26
famous personality (fp),voice of famous personality (fpv),no music,7448,2019,4,12,low,tags,government,explainers,no_video_type_1,voice of famous personality (fpv),crowd,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-25
commoner (np),text only (to),relevant,4267,2019,4,12,low,tags,rare,emotions,inspiring,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-25
other,text only (to),neutral,12439,2019,4,12,low,tags,rare,emotions,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-27
commoner (np),common voice (optv),neutral,3459,2019,4,12,low,tags,politics,rare,no_video_type_1,common voice (optv),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-26
other,text only (to),neutral,30741,2019,4,12,low,tags,environment/ecosystem,day-specific,no_video_type_1,text only (to),rare,rare,action,6 AM - 9 AM,2019-12-26
commoner (np),other,no music,20436,2019,4,12,low,tags,environment/ecosystem,rare,no_video_type_1,other,commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-25
famous personality (fp),voice of famous personality (fpv),no music,10317,2019,4,12,low,tags,politics,rare,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-23
famous personality (fp),text only (to),relevant,6344,2019,4,12,low,tags,sports & games,rare,informative,text only (to),famous personality,rare,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-24
other,text only (to),relevant,598574,2019,4,12,high,tags,judiciary & crime,emotions,informative,text only (to),rare,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-24
other,text only (to),neutral,16158,2019,4,12,low,not_editable,rare,rare,emotions,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-31
other,text only (to),neutral,1129,2019,4,12,low,tags,rare,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-27
famous personality (fp),voice of famous personality (fpv),neutral,28811,2019,4,12,low,tags,politics,rare,no_video_type_1,voice of famous personality (fpv),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-23
crowd,text only (to),loud,15473,2019,4,12,low,not_editable,politics,informative,rare,text only (to),crowd,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-24
commoner (np),text only (to),neutral,4205,2019,4,12,low,tags,politics,informative,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-23
commoner (np),text only (to),loud,11580,2019,4,12,low,tags,global news,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-22
famous personality (fp),text only (to),relevant,6179,2019,4,12,low,tags,sports & games,rare,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-22
commoner (np),common voice (optv),no music,13465,2019,4,12,low,tags,rare,emotions,rare,common voice (optv),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-21
commoner (np),text only (to),neutral,20526,2020,1,1,low,tags,lifestyle,rare,inspiring,text only (to),commoner,happy,action,9 AM - 12 PM,2020-01-02
famous personality (fp),voice of famous personality (fpv),relevant,21084,2019,4,12,low,tags,politics,emotions,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,9 PM - 12 AM,2019-12-23
other,text only (to),relevant,8692,2019,4,12,low,tags,sports & games,rare,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-20
famous personality (fp),text only (to),relevant,104966,2019,4,12,high,tags,politics,emotions,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-23
other,text only (to),relevant,15362,2019,4,12,low,not_editable,places,emotions,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-23
crowd,text only (to),relevant,29034,2019,4,12,low,tags,government,rare,informative,text only (to),crowd,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-19
crowd,text only (to),relevant,3517,2019,4,12,low,not_editable,judiciary & crime,emotions,no_video_type_1,text only (to),crowd,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-19
commoner (np),common voice (optv),no music,15248,2019,4,12,low,tags,politics,rare,no_video_type_1,common voice (optv),commoner,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-20
other,other,no music,21605,2020,1,1,low,tags,judiciary & crime,explainers,no_video_type_1,other,object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-07
commoner (np),text only (to),relevant,27618,2019,4,12,low,tags,rare,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-28
commoner (np),text only (to),relevant,7556,2019,4,12,low,tags,politics,emotions,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-21
other,text only (to),relevant,30421,2019,4,12,low,tags,places,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-29
crowd,common voice (optv),relevant,22265,2019,4,12,low,tags,politics,informative,rare,common voice (optv),crowd,anger,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-18
famous personality (fp),voice of famous personality (fpv),loud,7623,2019,4,12,low,not_editable,sports & games,rare,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-19
other,other,relevant,28807,2019,4,12,low,no_tags,judiciary & crime,informative,rare,other,commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-18
famous personality (fp),text only (to),relevant,5429,2019,4,12,low,tags,politics,emotions,informative,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-17
commoner (np),text only (to),relevant,109956,2019,4,12,high,tags,rare,emotions,rare,text only (to),commoner,action,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-18
other,text only (to),relevant,6785,2019,4,12,low,not_editable,technology & innovations,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-20
crowd,text only (to),loud,13006,2019,4,12,low,tags,politics,rare,rare,text only (to),crowd,anger,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-18
crowd,crowd,no music,31187,2019,4,12,low,tags,judiciary & crime,rare,rare,rare,crowd,anger,action,3 PM - 6 PM,2019-12-17
crowd,crowd,no music,78444,2019,4,12,high,tags,judiciary & crime,rare,rare,rare,crowd,anger,action,6 PM - 9 PM,2019-12-17
other,text only (to),loud,3676,2019,4,12,low,not_editable,sports & games,emotions,informative,text only (to),rare,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-19
famous personality (fp),voice of famous personality (fpv),neutral,12824,2019,4,12,low,tags,politics,rare,informative,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-19
other,text only (to),relevant,38967,2020,1,1,average,tags,environment/ecosystem,inspiring,informative,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-01
famous personality (fp),voice of famous personality (fpv),relevant,94214,2019,4,12,high,tags,judiciary & crime,informative,rare,voice of famous personality (fpv),crowd,anger,action,3 PM - 6 PM,2019-12-16
famous personality (fp),voice of famous personality (fpv),no music,183840,2019,4,12,high,not_editable,judiciary & crime,rare,no_video_type_1,voice of famous personality (fpv),commoner,rare,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-16
other,voice over (vo),relevant,40228,2019,4,12,high,not_editable,rare,day-specific,no_video_type_1,rare,famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-16
famous personality (fp),other,no music,7447,2019,4,12,low,tags,global news,informative,no_video_type_1,other,famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-13
famous personality (fp),voice of famous personality (fpv),no music,17771,2019,4,12,low,tags,politics,rare,rare,voice of famous personality (fpv),famous personality,rare,no_thumbnail_sentiment,9 PM - 12 AM,2019-12-13
commoner (np),common voice (optv),no music,4223,2019,4,12,low,tags,rare,rare,no_video_type_1,common voice (optv),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-13
commoner (np),text only (to),neutral,35780,2019,4,12,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-28
commoner (np),common voice (optv),relevant,99005,2020,1,1,high,tags,judiciary & crime,inspiring,informative,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-10
famous personality (fp),text only (to),loud,474116,2019,4,12,high,tags,politics,day-specific,rare,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-14
commoner (np),text only (to),relevant,24674,2019,4,12,low,not_editable,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-21
other,text only (to),loud,10272,2019,4,12,low,tags,rare,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-14
other,text only (to),relevant,11156,2019,4,12,low,tags,technology & innovations,informative,no_video_type_1,text only (to),famous personality,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-16
commoner (np),text only (to),relevant,9673,2019,4,12,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-16
famous personality (fp),voice of famous personality (fpv),no music,7329,2019,4,12,low,tags,global news,rare,rare,voice of famous personality (fpv),famous personality,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-11
commoner (np),common voice (optv),relevant,24600,2019,4,12,low,tags,rare,emotions,no_video_type_1,common voice (optv),commoner,anger,action,3 PM - 6 PM,2019-12-11
commoner (np),common voice (optv),no music,4316,2019,4,12,low,tags,judiciary & crime,rare,rare,common voice (optv),commoner,anger,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-10
famous personality (fp),text only (to),no music,5844,2019,4,12,low,tags,politics,day-specific,rare,text only (to),famous personality,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-12
famous personality (fp),text only (to),relevant,5395,2019,4,12,low,tags,entertainment,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-11
famous personality (fp),text only (to),no music,8865,2019,4,12,low,tags,government,rare,informative,text only (to),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-10
famous personality (fp),voice of famous personality (fpv),relevant,5432,2019,4,12,low,tags,government,rare,rare,voice of famous personality (fpv),famous personality,anger,no_thumbnail_sentiment,9 PM - 12 AM,2019-12-09
commoner (np),text only (to),relevant,35224,2019,4,12,low,tags,rare,inspiring,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-21
commoner (np),text only (to),relevant,32905,2019,4,12,low,tags,lifestyle,inspiring,emotions,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-31
famous personality (fp),voice of famous personality (fpv),no music,17992,2019,4,12,low,tags,government,rare,informative,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-09
other,common voice (optv),no music,7650,2019,4,12,low,tags,government,informative,no_video_type_1,common voice (optv),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-10
famous personality (fp),text only (to),relevant,24252,2019,4,12,low,tags,sports & games,day-specific,rare,text only (to),famous personality,happy,action,12 PM - 03 PM,2019-12-12
commoner (np),common voice (optv),relevant,14755,2019,4,12,low,tags,rare,rare,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-09
commoner (np),common voice (optv),no music,15587,2019,4,12,low,tags,places,informative,no_video_type_1,common voice (optv),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-15
commoner (np),text only (to),relevant,35435,2020,1,1,low,tags,lifestyle,emotions,inspiring,text only (to),commoner,happy,action,12 PM - 03 PM,2020-01-01
famous personality (fp),voice of famous personality (fpv),no music,6257,2019,4,12,low,tags,politics,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-09
commoner (np),text only (to),neutral,44856,2019,4,12,high,no_tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-14
commoner (np),common voice (optv),low,17876,2019,4,12,low,tags,rare,emotions,no_video_type_1,common voice (optv),commoner,rare,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-05
commoner (np),common voice (optv),no music,8158,2019,4,12,low,tags,rare,rare,no_video_type_1,common voice (optv),famous personality,happy,action,6 AM - 9 AM,2019-12-15
commoner (np),text only (to),neutral,61271,2020,1,1,high,tags,rare,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-11
other,text only (to),relevant,21190,2019,4,12,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-17
famous personality (fp),common voice (optv),relevant,7722,2019,4,12,low,tags,politics,rare,no_video_type_1,common voice (optv),famous personality,anger,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-05
commoner (np),other,no music,8330,2019,4,12,low,tags,politics,emotions,rare,other,famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-05
famous personality (fp),other,no music,78302,2019,4,12,high,tags,entertainment,rare,no_video_type_1,other,famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-05
commoner (np),text only (to),neutral,2134,2019,4,12,low,tags,rare,emotions,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-15
other,text only (to),relevant,13217,2019,4,12,low,tags,rare,emotions,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-06
commoner (np),crowd,no music,6718,2019,4,12,low,tags,judiciary & crime,emotions,rare,rare,commoner,rare,action,3 PM - 6 PM,2019-12-04
other,text only (to),neutral,4460,2019,4,12,low,tags,government,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-12-04
commoner (np),common voice (optv),no music,8140,2019,4,12,low,tags,lifestyle,informative,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-12
famous personality (fp),text only (to),loud,10598,2019,4,12,low,tags,sports & games,day-specific,no_video_type_1,text only (to),famous personality,happy,rare,6 AM - 9 AM,2019-12-05
crowd,crowd,no music,9540,2019,4,12,low,tags,government,informative,no_video_type_1,rare,object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-04
famous personality (fp),text only (to),relevant,6384,2019,4,12,low,tags,politics,day-specific,rare,text only (to),famous personality,happy,rare,6 AM - 9 AM,2019-12-03
commoner (np),text only (to),relevant,4049,2019,4,12,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-03
commoner (np),text only (to),relevant,21161,2019,4,12,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-12
commoner (np),text only (to),relevant,11603,2019,4,12,low,tags,lifestyle,inspiring,no_video_type_1,text only (to),commoner,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-15
famous personality (fp),voice of famous personality (fpv),relevant,11855,2019,4,12,low,tags,entertainment,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-12-03
commoner (np),other,no music,10049,2019,4,12,low,tags,entertainment,rare,rare,other,commoner,happy,rare,6 AM - 9 AM,2019-12-07
crowd,other,no music,19543,2019,4,12,low,tags,rare,rare,emotions,other,commoner,anger,action,3 PM - 6 PM,2019-12-02
commoner (np),common voice (optv),relevant,18042,2019,4,12,low,tags,judiciary & crime,rare,rare,common voice (optv),commoner,anger,action,12 PM - 03 PM,2019-12-03
commoner (np),common voice (optv),relevant,14303,2019,4,12,low,tags,politics,rare,emotions,common voice (optv),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-02
commoner (np),common voice (optv),low,48386,2019,4,12,high,tags,politics,rare,no_video_type_1,common voice (optv),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-01
crowd,other,no music,37180,2019,4,12,low,tags,global news,rare,rare,other,commoner,happy,action,6 AM - 9 AM,2019-12-01
famous personality (fp),voice of famous personality (fpv),relevant,30728,2019,4,12,low,not_editable,sports & games,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2019-12-01
famous personality (fp),voice of famous personality (fpv),no music,105820,2019,4,11,high,tags,rare,rare,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-11-30
commoner (np),common voice (optv),low,6377,2019,4,12,low,not_editable,government,rare,no_video_type_1,common voice (optv),commoner,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-12-02
famous personality (fp),voice of famous personality (fpv),relevant,2177,2019,4,11,low,tags,sports & games,rare,no_video_type_1,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,3 PM - 6 PM,2019-11-29
famous personality (fp),text only (to),neutral,13447,2019,4,11,low,tags,rare,informative,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-11-29
other,text only (to),relevant,17545,2019,4,12,low,not_editable,places,rare,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 AM - 9 AM,2019-12-02
commoner (np),other,relevant,15748,2019,4,11,low,tags,entertainment,rare,emotions,other,commoner,happy,action,3 PM - 6 PM,2019-11-30
famous personality (fp),other,relevant,4015,2019,4,11,low,tags,politics,rare,emotions,other,famous personality,neutral,no_thumbnail_sentiment,9 PM - 12 AM,2019-11-28
famous personality (fp),voice of famous personality (fpv),relevant,5183,2019,4,11,low,tags,global news,rare,emotions,voice of famous personality (fpv),famous personality,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-11-28
